timestamp_utc,cycle_index,step_index,commanded_heater_temp_C,step_duration_ms,gas_resistance_ohm,sensor_temperature_C,sensor_humidity_RH,pressure_Pa,backend,i2c_addr,sample_name,specimen_id,storage,notes,profile_name,profile_hash
2025-10-11T15:56:25.645030+00:00,0,1,180,150,56537.1,24.66,48.97,101710.33,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:25.897416+00:00,0,2,220,150,34096.96,24.54,48.93,101713.29,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:26.164482+00:00,0,3,260,150,22930.85,24.55,48.93,101696.73,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:26.430274+00:00,0,4,300,150,15822.0,24.63,48.9,101711.26,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:26.696260+00:00,0,5,340,150,10947.66,24.68,48.87,101710.82,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:26.949382+00:00,1,1,180,150,55761.27,24.74,48.82,101709.89,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:27.217007+00:00,1,2,220,150,34792.06,24.63,48.78,101700.92,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:27.483739+00:00,1,3,260,150,24404.2,24.63,48.76,101711.66,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:27.749214+00:00,1,4,300,150,17438.69,24.65,48.74,101709.78,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:28.014996+00:00,1,5,340,150,12598.42,24.71,48.71,101711.09,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:28.278410+00:00,2,1,180,150,64777.33,24.78,48.67,101709.65,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:28.544289+00:00,2,2,220,150,38740.92,24.66,48.62,101709.91,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:28.798052+00:00,2,3,260,150,26913.37,24.64,48.6,101709.09,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:29.064851+00:00,2,4,300,150,19335.35,24.68,48.6,101697.15,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:29.332299+00:00,2,5,340,150,13778.26,24.77,48.56,101711.24,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:29.597219+00:00,3,1,180,150,72234.77,24.81,48.51,101710.84,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:29.863148+00:00,3,2,220,150,42524.92,24.68,48.48,101711.23,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:30.130508+00:00,3,3,260,150,29097.52,24.65,48.46,101709.44,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:30.397410+00:00,3,4,300,150,20826.55,24.69,48.45,101710.0,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:30.664757+00:00,3,5,340,150,14956.77,24.75,48.42,101710.16,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:30.929361+00:00,4,1,180,150,80025.01,24.82,48.39,101709.88,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
2025-10-11T15:56:31.195904+00:00,4,2,220,150,45714.29,24.69,48.37,101710.34,coines,0x76,1,1,refrigerated,1,Meat Freshness Sweep v1 coins,b75b0164c1ebab0358a6df348d2a8f08c0e99d29
