timestamp_utc,elapsed_time_s,cycle_index,step_index,commanded_heater_temp_C,step_duration_ticks,step_duration_ms,heater_heat_stable,sensor_status_raw,gas_resistance_ohm,sensor_temperature_C,sensor_humidity_RH,pressure_Pa,backend,i2c_addr,sample_name,specimen_id,storage,notes,profile_name,profile_hash
2025-10-19T13:49:26.004373+00:00,0.0,3,1,210,32,4480,True,176,98975.45,22.93,47.2,101051.16,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:49:26.794936+00:00,0.797,3,2,265,2,280,True,176,49060.94,24.84,46.62,101082.39,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:49:35.414754+00:00,8.609,3,3,265,30,4200,True,176,137597.42,24.4,45.27,101080.22,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:49:36.195029+00:00,0.781,3,4,320,2,280,True,176,61955.47,25.61,45.08,101086.55,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:49:44.807330+00:00,8.625,3,5,320,30,4200,True,176,134878.81,24.83,44.25,101083.13,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:49:53.986782+00:00,9.172,3,6,265,32,4480,True,176,219318.91,23.71,44.37,101052.16,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:50:03.175043+00:00,9.188,3,7,210,32,4480,True,176,268062.81,23.58,44.65,101044.49,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:50:12.352999+00:00,9.187,3,8,155,32,4480,True,176,534028.69,23.42,45.06,101044.85,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:50:21.546536+00:00,9.188,3,9,100,32,4480,True,176,1627010.88,23.14,45.78,101044.84,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:50:30.718464+00:00,9.171,3,10,155,32,4480,True,176,336178.59,23.33,45.46,101048.75,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:50:59.915532+00:00,29.204,4,1,210,32,4480,True,176,102175.21,22.99,46.96,101051.71,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:51:00.696891+00:00,0.781,4,2,265,2,280,True,176,51426.28,24.94,46.39,101080.19,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:51:09.319724+00:00,8.609,4,3,265,30,4200,True,176,145952.11,24.47,45.07,101082.94,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:51:10.102713+00:00,0.781,4,4,320,2,280,True,176,66701.41,25.67,44.87,101084.58,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:51:18.731351+00:00,8.641,4,5,320,30,4200,True,176,143497.77,24.82,44.07,101078.66,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:51:27.915653+00:00,9.188,4,6,265,32,4480,True,176,228877.97,23.76,44.15,101049.66,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:51:37.100749+00:00,9.171,4,7,210,32,4480,True,176,277206.28,23.62,44.48,101048.77,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:51:46.268577+00:00,9.172,4,8,155,32,4480,True,176,550833.81,23.44,44.94,101047.66,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:51:55.443399+00:00,9.172,4,9,100,32,4480,True,176,1685250.0,23.16,45.68,101046.53,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:52:04.634813+00:00,9.203,4,10,155,32,4480,True,176,345712.34,23.33,45.42,101046.37,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:52:33.825886+00:00,29.188,5,1,210,32,4480,True,176,103917.19,23.02,46.96,101049.66,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:52:34.599115+00:00,0.765,5,2,265,2,280,True,176,52696.58,24.96,46.34,101077.6,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:52:43.210074+00:00,8.61,5,3,265,30,4200,True,176,150588.23,24.58,45.01,101082.99,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:52:43.995749+00:00,0.797,5,4,320,2,280,True,176,70098.58,25.67,44.82,101085.74,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:52:52.620088+00:00,8.625,5,5,320,30,4200,True,176,149532.7,24.86,44.03,101082.09,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
2025-10-19T13:53:01.806263+00:00,9.187,5,6,265,32,4480,True,176,235836.02,23.77,44.17,101048.99,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,test,HP-502-20sDwell,9f4083447f1c7bdde53315499bfa3fe64d7a2169
