timestamp_utc,cycle_index,step_index,commanded_heater_temp_C,step_duration_ticks,step_duration_ms,heater_heat_stable,sensor_status_raw,gas_resistance_ohm,sensor_temperature_C,sensor_humidity_RH,pressure_Pa,backend,i2c_addr,sample_name,specimen_id,storage,notes,profile_name,profile_hash
2025-10-16T15:54:01.054043+00:00,3,1,210,32,4480,True,176,8012.02,29.93,24.1,100809.13,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:54:01.838753+00:00,3,2,265,2,280,True,176,5684.85,31.57,24.08,100827.71,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:54:10.458299+00:00,3,3,265,30,4200,True,176,5684.85,31.35,23.49,100838.68,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:54:11.245309+00:00,3,4,320,2,280,True,176,5684.85,32.25,23.44,100825.23,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:54:19.866336+00:00,3,5,320,30,4200,True,176,5684.85,31.61,23.08,100836.27,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:54:29.040509+00:00,3,6,265,32,4480,True,176,5684.85,30.44,23.33,100804.28,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:54:38.215217+00:00,3,7,210,32,4480,True,176,8490.32,30.26,23.55,100797.09,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:54:47.401914+00:00,3,8,155,32,4480,True,176,16767.09,30.04,23.75,100800.97,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:54:56.588676+00:00,3,9,100,32,4480,True,176,35281.15,29.68,24.13,100801.17,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:55:05.766923+00:00,3,10,155,32,4480,True,176,17241.38,29.89,23.94,100798.17,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:55:14.944399+00:00,4,1,210,32,4480,True,176,7359.71,30.13,23.65,100802.77,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:55:15.725580+00:00,4,2,265,2,280,True,176,5684.85,31.77,23.63,100823.81,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:55:24.333313+00:00,4,3,265,30,4200,True,176,5684.85,31.52,23.14,100840.19,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:55:25.102442+00:00,4,4,320,2,280,True,176,5684.85,32.46,23.1,100827.14,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:55:33.711498+00:00,4,5,320,30,4200,True,176,5684.85,31.84,22.77,100845.65,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:55:42.878847+00:00,4,6,265,32,4480,True,176,5684.85,30.62,22.97,100810.45,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:55:52.059798+00:00,4,7,210,32,4480,True,176,7858.55,30.41,23.2,100804.24,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:56:01.247705+00:00,4,8,155,32,4480,True,176,15289.06,30.17,23.42,100803.28,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:56:10.419456+00:00,4,9,100,32,4480,True,176,31738.16,29.85,23.79,100803.38,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:56:19.591924+00:00,4,10,155,32,4480,True,176,15798.57,30.05,23.62,100805.35,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:56:28.777282+00:00,5,1,210,32,4480,True,176,6875.81,30.25,23.33,100804.38,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:56:29.559891+00:00,5,2,265,2,280,True,176,5684.85,31.9,23.3,100829.61,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:56:38.190806+00:00,5,3,265,30,4200,True,176,5684.85,31.58,22.78,100841.52,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:56:38.976687+00:00,5,4,320,2,280,True,176,5684.85,32.55,22.76,100838.88,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:56:47.609499+00:00,5,5,320,30,4200,True,176,5684.85,31.88,22.41,100842.13,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:56:56.801486+00:00,5,6,265,32,4480,True,176,5684.85,30.71,22.62,100805.29,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:57:05.993177+00:00,5,7,210,32,4480,True,176,7200.72,30.51,22.86,100803.41,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:57:15.174623+00:00,5,8,155,32,4480,True,176,13822.89,30.31,23.13,100802.47,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:57:24.343339+00:00,5,9,100,32,4480,True,176,28193.83,29.97,23.59,100800.24,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:57:33.525376+00:00,5,10,155,32,4480,True,176,14382.02,30.14,23.5,100805.43,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:57:42.704114+00:00,6,1,210,32,4480,True,176,6542.63,30.4,23.24,100798.91,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:57:43.489954+00:00,6,2,265,2,280,True,176,5684.85,32.01,23.25,100822.81,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:57:52.111659+00:00,6,3,265,30,4200,True,176,5684.85,31.69,22.74,100834.18,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:57:52.894878+00:00,6,4,320,2,280,True,176,5684.85,32.67,22.68,100826.26,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:58:01.511677+00:00,6,5,320,30,4200,True,176,5684.85,32.03,22.38,100834.27,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:58:10.699801+00:00,6,6,265,32,4480,True,176,5684.85,30.82,22.62,100798.51,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:58:19.876479+00:00,6,7,210,32,4480,True,176,7176.5,30.64,22.86,100798.21,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:58:29.052435+00:00,6,8,155,32,4480,True,176,13681.06,30.4,23.16,100797.29,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:58:38.238390+00:00,6,9,100,32,4480,True,176,27397.26,30.05,23.56,100792.41,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:58:47.403589+00:00,6,10,155,32,4480,True,176,14190.69,30.25,23.4,100797.8,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:58:56.580681+00:00,7,1,210,32,4480,True,176,6534.61,30.48,23.13,100801.69,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:58:57.359117+00:00,7,2,265,2,280,True,176,5684.85,32.1,23.09,100820.01,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:59:05.983360+00:00,7,3,265,30,4200,True,176,5684.85,31.8,22.59,100831.71,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:59:06.764975+00:00,7,4,320,2,280,True,176,5684.85,32.75,22.53,100823.02,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:59:15.388409+00:00,7,5,320,30,4200,True,176,5684.85,32.13,22.19,100835.88,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:59:24.574208+00:00,7,6,265,32,4480,True,176,5684.85,30.89,22.44,100799.55,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
2025-10-16T15:59:33.749429+00:00,7,7,210,32,4480,True,176,6997.59,30.71,22.69,100798.98,coines,0x76,Coffee,DD-1,refrigerated,test,HP-502,aac0eeab6dc21836751ca27fe588aa00e7228bce
