timestamp_utc,cycle_index,step_index,commanded_heater_temp_C,step_duration_ticks,step_duration_ms,heater_heat_stable,sensor_status_raw,gas_resistance_ohm,sensor_temperature_C,sensor_humidity_RH,pressure_Pa,backend,i2c_addr,sample_name,specimen_id,storage,notes,profile_name,profile_hash
2025-10-13T21:50:28.533842+00:00,3,1,180,10,1400,True,176,294168.34,27.15,43.29,100955.61,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:50:30.992482+00:00,3,2,230,8,1120,True,176,85304.9,27.52,43.59,100961.9,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:50:33.445448+00:00,3,3,280,8,1120,True,176,57528.09,27.83,43.38,100962.66,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:50:35.906158+00:00,3,4,320,8,1120,True,176,75227.74,27.95,43.08,100966.33,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:50:38.360555+00:00,3,5,360,8,1120,True,176,114901.26,28.19,42.75,100965.34,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:50:39.973678+00:00,3,6,400,5,700,True,176,126576.02,28.45,42.57,100953.05,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:50:42.988602+00:00,4,1,180,10,1400,True,176,303317.53,27.39,42.8,100955.25,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:50:45.446726+00:00,4,2,230,8,1120,True,176,83961.95,27.7,43.13,100953.82,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:50:47.897407+00:00,4,3,280,8,1120,True,176,56914.18,28.0,42.96,100957.62,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:50:50.349430+00:00,4,4,320,8,1120,True,176,75161.48,28.15,42.66,100959.31,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:50:52.806742+00:00,4,5,360,8,1120,True,176,117269.81,28.3,42.32,100964.41,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:50:54.422716+00:00,4,6,400,5,700,True,176,133611.69,28.59,42.14,100954.86,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:50:57.444704+00:00,5,1,180,10,1400,True,176,305216.09,27.46,42.39,100956.16,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:50:59.901059+00:00,5,2,230,8,1120,True,176,83143.88,27.89,42.73,100962.2,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:51:02.351439+00:00,5,3,280,8,1120,True,176,56128.04,28.14,42.55,100962.38,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:51:04.809876+00:00,5,4,320,8,1120,True,176,74440.24,28.25,42.24,100961.13,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:51:07.267509+00:00,5,5,360,8,1120,True,176,118244.8,28.5,41.95,100956.79,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:51:08.887802+00:00,5,6,400,5,700,True,176,137708.45,28.73,41.75,100948.84,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:51:11.898126+00:00,6,1,180,10,1400,True,176,307138.56,27.71,42.04,100955.41,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:51:14.353766+00:00,6,2,230,8,1120,True,176,81710.82,28.0,42.39,100960.59,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:51:16.815755+00:00,6,3,280,8,1120,True,176,55148.64,28.21,42.21,100958.91,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
2025-10-13T21:51:19.278917+00:00,6,4,320,8,1120,True,176,74375.36,28.42,41.94,100960.06,coines,0x76,Basement Air,Air,other,Test of Natural Air,Aging-Beef-6- v1 coins,2586dc6dceb4c9eaa9216d328379baf1f859b28b
