timestamp_utc,cycle_index,step_index,commanded_heater_temp_C,step_duration_ticks,step_duration_ms,heater_heat_stable,sensor_status_raw,gas_resistance_ohm,sensor_temperature_C,sensor_humidity_RH,pressure_Pa,backend,i2c_addr,sample_name,specimen_id,storage,notes,profile_name,profile_hash
2025-10-17T21:23:01.129465+00:00,3,1,210,32,4480,True,176,244274.81,23.83,43.91,100379.13,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:23:01.906259+00:00,3,2,265,2,280,True,176,110798.53,25.72,43.45,100400.26,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:23:10.518110+00:00,3,3,265,30,4200,True,176,211308.3,25.48,42.1,100407.93,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:23:11.292634+00:00,3,4,320,2,280,True,176,122312.47,26.54,41.89,100403.97,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:23:19.916385+00:00,3,5,320,30,4200,True,176,322215.22,25.89,41.05,100410.52,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:23:29.098442+00:00,3,6,265,32,4480,True,176,406995.22,24.81,41.15,100376.24,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:23:38.274487+00:00,3,7,210,32,4480,True,176,583808.44,24.71,41.3,100373.95,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:23:47.459241+00:00,3,8,155,32,4480,True,176,1074783.5,24.55,41.81,100375.32,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:23:56.645333+00:00,3,9,100,32,4480,True,176,3167214.5,24.28,42.44,100371.91,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:24:05.824597+00:00,3,10,155,32,4480,True,176,740955.12,24.48,42.22,100376.27,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:24:35.026194+00:00,4,1,210,32,4480,True,176,246746.98,24.21,43.43,100379.33,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:24:35.802635+00:00,4,2,265,2,280,True,176,111961.52,26.09,42.71,100396.09,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:24:44.418573+00:00,4,3,265,30,4200,True,176,209879.08,25.78,41.39,100407.23,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:24:45.196819+00:00,4,4,320,2,280,True,176,121355.77,26.9,41.53,100402.47,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:24:53.821147+00:00,4,5,320,30,4200,True,176,317126.03,26.2,40.7,100407.04,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:25:02.991177+00:00,4,6,265,32,4480,True,176,405544.56,25.12,40.62,100379.16,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:25:12.175133+00:00,4,7,210,32,4480,True,176,577878.12,24.97,40.96,100375.4,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:25:21.356331+00:00,4,8,155,32,4480,True,176,1070569.75,24.79,41.28,100373.41,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:25:30.526990+00:00,4,9,100,32,4480,True,176,3170892.25,24.53,42.07,100376.1,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:25:39.710558+00:00,4,10,155,32,4480,True,176,739350.19,24.72,41.5,100372.88,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:26:08.897871+00:00,5,1,210,32,4480,True,176,248001.94,24.4,42.87,100378.85,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:26:09.681194+00:00,5,2,265,2,280,True,176,111888.11,26.23,42.36,100397.01,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:26:18.300968+00:00,5,3,265,30,4200,True,176,210008.2,25.95,41.52,100409.19,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:26:19.080489+00:00,5,4,320,2,280,True,176,120669.34,27.0,41.01,100407.84,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:26:27.703827+00:00,5,5,320,30,4200,True,176,317716.41,26.32,40.46,100406.54,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:26:36.884814+00:00,5,6,265,32,4480,True,176,405063.28,25.25,40.23,100380.25,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
2025-10-17T21:26:46.056314+00:00,5,7,210,32,4480,True,176,579841.44,25.1,40.56,100376.64,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,,HP-502,3832557560321b8da5b8cfb788bb8609c9de36f0
